q_idx,seed,correct_answer,in_beam_top100,beam_rank,detected_rel,n_filtered,correct_in_filtered,final_rank
119,Ski Party,Walter Newman,True,23,starred_actors,9,False,0
120,World Traveler,1997,True,38,release_year,4,True,2
121,Some Like It Hot,Drama,True,1,has_genre,11,True,1
122,The Specials,Howard Zieff,True,3,written_by,14,True,1
123,The Muse,Kathryn Harrold,True,11,written_by,26,True,1
124,The Sheik,Drama,True,1,has_genre,14,True,1
125,One Deadly Summer,Gérard Depardieu,True,3,starred_actors,25,True,2
126,Encino Man,French,True,41,in_language,1,True,1
127,Moon 44,German,True,5,in_language,7,True,1
128,The Backyard,Paul Hough,True,3,written_by,1,True,1
129,The Laughing Policeman,Horror,True,1,has_genre,12,True,1
130,A Grand Day Out,2008,True,22,release_year,6,True,3
131,5 Fingers,Mystery,True,1,has_genre,10,True,1
132,CrissCross,Terence Frisby,True,2,written_by,2,True,1
133,All Mine to Give,1953,False,0,release_year,3,False,0
134,Susannah of the Mounties,William Keighley,True,6,starred_actors,45,False,0
135,The Anniversary,John Hannah,False,0,starred_actors,47,False,0
136,Heights,Jessica Postigo,True,1,written_by,42,True,1
137,Biloxi Blues,Russian,False,0,in_language,2,False,0
138,Little Shop of Horrors,Family,True,1,has_genre,10,True,1
139,Flight,Phillip Noyce,True,11,directed_by,9,True,2
140,Law of Desire,Spanish,True,4,in_language,7,True,2
141,Walk Like a Man,Jack Rose,True,2,directed_by,9,True,1
142,Brooklyn Bridge,Animation,True,1,has_genre,11,True,1
143,The Girl He Left Behind,Marlon Brando,True,27,written_by,7,False,0
144,10 Rillington Place,Mako,True,7,starred_actors,62,True,2
145,The Exorcist,Jason Miller,False,0,starred_actors,38,False,0
146,The Graduate,Crime,True,1,has_genre,13,True,1
147,The Last Days on Mars,German,True,29,in_language,2,True,1
148,The Story of Us,John Landis,False,0,directed_by,12,False,0
149,Aaltra,French,True,5,in_language,6,True,1
150,Hotel Rwanda,Terry George,True,3,directed_by,5,True,1
151,Warlock,Victor Hugo,True,97,written_by,15,True,0
152,The Man in the Iron Mask,Sean McGinly,True,28,directed_by,17,True,3
153,The Jungle Book 2,Sport,True,1,has_genre,5,True,1
154,Sex Drive,Jay Baruchel,False,0,starred_actors,37,False,0
155,Rebel Without a Cause,Ivan Moffat,True,89,written_by,35,True,0
156,Badman's Territory,War,True,5,has_genre,2,True,1
157,Spencer's Mountain,Jeff Chandler,True,8,starred_actors,35,True,3
158,Trois,2005,True,39,release_year,5,True,2
159,Blood Glacier,Horror,True,4,has_genre,4,True,2
160,Men Without Women,Welsh,False,0,in_language,3,False,0
161,Household Saints,1991,False,0,release_year,1,False,0
162,Salvador,Stephen King,True,5,written_by,29,True,1
163,The Las Vegas Story,Irish,True,8,in_language,7,True,1
164,Iris,1949,True,3,release_year,7,True,1
165,Blood Work,Jay Hernandez,True,4,starred_actors,45,True,1
166,Anthony Adverse,Mark Twain,False,0,written_by,2,False,0
167,One Man Up,Thriller,True,83,has_genre,15,True,0
168,Blow Out,Nicolas Cage,True,7,starred_actors,59,True,3
169,The Numbers Station,Mystery,True,1,has_genre,10,True,1
170,Calle 54,Danny Aiello,True,20,starred_actors,54,True,2
171,Storyville,Walter Hill,True,19,directed_by,19,True,3
172,I See a Dark Stranger,Anthony Page,True,1,written_by,9,True,1
173,Psycho Beach Party,2003,False,0,release_year,8,False,0
174,Human Resources,Drama,True,1,has_genre,12,True,1
175,Things to Do in Denver When You're Dead,English,True,18,in_language,2,True,1
176,How the West Was Won,Ernest Pascal,True,1,written_by,23,True,1
177,Deadly Circuit,French,True,4,in_language,5,True,2
178,Stealth,Leslie Bibb,False,0,starred_actors,53,False,0
179,Hannah Arendt,German,True,2,in_language,7,True,1
180,Superstar,Bruce McCulloch,True,11,written_by,21,True,3
181,Original Sin,Tony Cinciripini,False,0,written_by,12,False,0
182,But I'm a Cheerleader,Romance,True,1,has_genre,6,True,1
183,In Country,Stirling Silliphant,True,5,written_by,6,True,4
184,The Emerald Forest,1987,False,0,release_year,5,False,0
185,Russian Roulette,1991,False,0,release_year,3,False,0
186,Fight Club,Ben Mezrich,False,0,written_by,14,False,0
187,Come See the Paradise,1997,True,5,release_year,4,True,1
188,4 for Texas,Cesar Romero,False,0,directed_by,20,False,0
189,Miss Julie,Swedish,True,4,in_language,3,True,1
190,The Purple Rose of Cairo,Mickey Rose,True,4,written_by,8,True,1
191,The Last Wave,Drama,True,1,has_genre,3,True,1
192,My Man,French,True,6,in_language,4,True,2
193,The Package,1990,True,19,release_year,6,True,4
194,Blue Collar,Mystery,True,1,has_genre,10,True,1
195,Blood Alley,Nehemiah Persoff,True,5,starred_actors,47,True,1
196,Anthony Adverse,Paul Muni,False,0,starred_actors,43,False,0
197,Outlaw,German,True,18,in_language,2,True,1
198,Jane Eyre,Leonard Nimoy,False,0,starred_actors,40,False,0
199,The Man Who Laughs,1921,False,0,release_year,5,False,0
200,Jimmy's Hall,Jeremy Sandford,True,4,written_by,13,True,1
201,The Unfaithful Wife,Jennifer Jones,True,4,starred_actors,14,True,1
202,The Mask of Fu Manchu,Swedish,True,14,in_language,2,True,1
203,B.F.'s Daughter,1935,True,4,release_year,4,True,1
204,Miss Sadie Thompson,1967,False,0,release_year,3,False,0
205,Father and Guns,English,True,5,in_language,4,True,2
206,Rounders,Romance,True,1,has_genre,9,True,1
207,The Man Who Knew Too Little,Daniel Vigne,True,9,written_by,11,True,4
208,Om Shanti Om,Sushmita Sen,True,11,starred_actors,21,True,6
209,The Positively True Adventures of the Alleged Texas Cheerleader-Murdering Mom,1976,True,3,release_year,5,True,1
210,Booty Call,Jeff Pollack,True,5,written_by,5,True,3
211,Chalet Girl,2009,False,0,release_year,2,False,0
212,Bullet,Julie Brown,True,7,written_by,3,True,3
213,Fear and Loathing in Las Vegas,Terry Gilliam,True,15,directed_by,25,True,3
214,Triple Cross,Comedy,True,17,has_genre,8,True,4
215,America America,Richard Boone,True,15,starred_actors,54,True,4
216,The Broken Circle Breakdown,Felix van Groeningen,True,9,directed_by,1,True,1
217,We're Not Dressing,1946,True,5,release_year,7,True,1
218,Smoking/No Smoking,Daniel Auteuil,True,2,starred_actors,6,True,6
219,Arabesque,German,True,10,in_language,3,True,1
220,The Caiman,Maria Sole Tognazzi,False,0,written_by,1,False,0
221,Branded,1943,False,0,release_year,12,False,0
222,L.A. Without a Map,Michael Almereyda,False,0,written_by,4,False,0
223,Yojimbo,Drama,True,2,has_genre,8,True,2
224,How Green Was My Valley,Robert Stevenson,True,7,directed_by,14,True,1
225,Games,1965,False,0,release_year,2,False,0
226,Lord of the Flies,1967,False,0,release_year,5,False,0
227,Labor Day,German,False,0,in_language,0,False,0
228,The Dance of Reality,1970,True,37,release_year,2,True,2
229,The Squeeze,Romance,True,1,has_genre,7,True,1
230,My House in Umbria,Michael Sheen,True,38,starred_actors,37,True,0
231,School Ties,Action,True,1,has_genre,8,True,1
232,New Waterford Girl,Drama,True,1,has_genre,8,True,1
233,The River Why,Drama,True,5,has_genre,7,True,3
234,The Quiet Man,John Wayne,True,2,starred_actors,40,True,1
235,Tanguy,Comedy,True,4,has_genre,9,True,2
236,Shaolin Soccer,Stephen Chow,True,5,directed_by,28,True,1
237,The Rum Diary,Romance,True,2,has_genre,13,True,1
238,Boom Town,James Edward Grant,True,4,written_by,45,True,1
239,Suite Française,2008,True,22,release_year,41,True,9
240,Cast a Deadly Spell,Mystery,True,2,has_genre,7,True,1
241,Honor Among Lovers,1933,False,0,release_year,6,False,0
242,The Odessa File,1969,True,82,release_year,12,True,0
243,Flight of Fury,Andrew Davis,True,4,directed_by,2,True,2
244,The Immigrant,James Gray,True,8,directed_by,18,True,1
245,The Comfort of Strangers,1987,True,79,release_year,9,True,4
246,Monsieur Ibrahim,J. Lee Thompson,False,0,directed_by,28,False,0
247,Two Evil Eyes,German,True,40,in_language,3,True,3
248,The General's Daughter,Romance,True,1,has_genre,8,True,1
249,Marianne and Juliane,Drama,True,1,has_genre,6,True,1
250,Love Jones,Italian,False,0,in_language,0,False,0
251,Canyon Passage,Cornell Woolrich,False,0,written_by,4,False,0
252,Johnny English Reborn,Suzanne Cloutier,True,18,directed_by,9,True,4
253,Too Late the Hero,Lukas Heller,True,7,written_by,26,True,1
254,Hope Springs,Mystery,True,1,has_genre,9,True,1
255,Reunion,Elia Kazan,False,0,directed_by,6,False,0
256,The Verdict,Vicente Aranda,True,14,directed_by,11,True,3
257,The Clowns,Leopoldo Trieste,True,3,starred_actors,26,True,1
258,Children of Heaven,Persian,True,5,in_language,3,True,1
259,To Die For,Mike Nichols,True,5,written_by,38,True,2
260,Shrek,Cameron Crowe,True,10,written_by,22,True,1
261,India Song,1969,False,0,release_year,2,False,0
262,Happy Endings,Drama,True,1,has_genre,5,True,1
263,The Pursuit of Happyness,Barry Sonnenfeld,True,6,directed_by,11,True,1
264,Once Upon a Time in China,John Fusco,True,3,written_by,26,True,1
265,Moving Out,Drama,True,2,has_genre,8,True,2
266,Buying the Cow,1993,False,0,release_year,3,False,0
267,16 Blocks,Gregory Peck,True,23,starred_actors,21,True,7
268,Invaders from Mars,Fantasy,True,1,has_genre,6,True,1
269,The Lord of the Rings,Frank Frazetta,True,17,written_by,35,True,4
270,Watchers,2000,True,37,release_year,4,True,2
271,Her Alibi,Mystery,True,1,has_genre,5,True,1
272,Three Smart Girls Grow Up,Irving Pichel,True,9,starred_actors,6,False,0
273,Straight to Hell,Gary Oldman,False,0,starred_actors,11,False,0
274,Some Kind of Hero,Michael Pressman,True,1,directed_by,4,True,1
275,Minnie and Moskowitz,Hungarian,True,88,in_language,3,True,3
276,The Cider House Rules,1991,False,0,release_year,3,False,0
277,10,John Derek,True,8,starred_actors,40,False,0
278,The Pentagon Papers,German,False,0,in_language,0,False,0
279,Moulin Rouge,1948,True,54,release_year,16,True,9
280,Tyson,French,True,23,in_language,1,True,1
281,City for Conquest,Joan Crawford,False,0,starred_actors,30,False,0
282,Iron Man 2,David Berenbaum,True,11,directed_by,7,True,1
283,La Vie en Rose,French,True,6,in_language,7,True,2
284,Shamus,2011,True,41,release_year,8,True,5
285,Crossfire,Elia Kazan,True,4,directed_by,21,True,1
286,That Uncertain Feeling,Peter Straub,True,3,written_by,39,True,1
287,The Match Factory Girl,Sport,True,4,has_genre,6,True,1
288,The City of Lost Children,John Milius,False,0,directed_by,1,False,0
289,Inferno,Drama,True,3,has_genre,9,True,2
290,The Field,Irish,True,14,in_language,3,True,1
291,The Incredible Petrified World,French,True,10,in_language,1,True,1
292,Looking for Comedy in the Muslim World,Monica Mcgowan Johnson,True,15,directed_by,28,True,2
293,28 Weeks Later,Juan Carlos Fresnadillo,True,1,written_by,3,True,1
294,La Bête Humaine,George Sessions Perry,True,7,written_by,19,True,2
295,FM,1984,True,4,release_year,7,True,1
296,The Best Man Holiday,Romance,True,1,has_genre,8,True,1
297,The Entertainer,Valerie Perrine,True,41,starred_actors,70,True,0
298,They,Eric Red,True,19,written_by,7,True,4
299,Inspector Clouseau,Comedy,True,1,has_genre,9,True,1
300,The Godless Girl,Drama,True,1,has_genre,7,True,1
301,The Boy with Green Hair,1968,True,55,release_year,6,True,4
302,Three on a Match,Romance,True,1,has_genre,10,True,1
303,Wonderland,Romance,True,1,has_genre,11,True,1
304,Wizards,Barry White,False,0,starred_actors,24,False,0
305,Double Suicide,Koji Nakada,True,1,written_by,2,True,1
306,A Smile Like Yours,Romance,True,2,has_genre,4,True,1
307,The Pest,Spike Lee,True,41,directed_by,35,True,3
308,Second Skin,Alejandro González Iñárritu,True,17,directed_by,20,True,2
309,Oculus,Courtney Bell,True,7,written_by,1,False,0
310,One Tough Cop,E. Max Frye,True,60,starred_actors,30,False,0
311,Serena,Anders Thomas Jensen,True,1,written_by,2,True,1
312,The Terrorist,Manish Acharya,False,0,written_by,1,False,0
313,Date Night,Drama,True,1,has_genre,10,True,1
314,Ten,Val Kilmer,False,0,starred_actors,1,False,0
315,I'm Not Rappaport,Mystery,True,2,has_genre,6,True,1
316,The Darkest Hour,Chris Gorak,True,12,written_by,54,True,1
317,Love Is Eternal While It Lasts,1981,False,0,release_year,3,False,0
318,At the Circus,Morrie Ryskind,True,10,written_by,19,True,1
319,The Big Combo,Randolph Scott,True,9,starred_actors,81,True,2
320,Toomorrow,Emlyn Williams,True,3,starred_actors,18,True,1
321,After the Sunset,Greek,True,47,in_language,3,True,3
322,This Boy's Life,Romance,True,1,has_genre,6,True,1
323,Pursued,Jerry Wald,True,2,written_by,14,True,1
324,Uncovered,English,True,7,in_language,4,True,1
325,Mercy,Frank Langella,True,5,starred_actors,34,True,1
326,Blue Chips,1986,True,3,release_year,3,True,1
327,Wilder Napalm,Craig Brewer,True,24,written_by,43,True,2
328,Total Recall,Phillip Noyce,True,27,directed_by,16,True,3
329,Dogs in Space,Noah Taylor,False,0,starred_actors,1,False,0
330,The Gods Must Be Crazy,Comedy,True,3,has_genre,9,True,2
331,Walk of Shame,Adam Sandler,True,9,written_by,17,True,2
332,Donovan's Brain,Philip Barry,False,0,written_by,9,False,0
333,A Haunted House 2,Paris Barclay,True,6,written_by,42,True,6
334,Gotcha!,David Fincher,True,3,directed_by,4,True,1
335,The Five Heartbeats,Robert Townsend,True,6,directed_by,4,True,1
336,Love Comes Softly,2005,False,0,release_year,1,False,0
337,Regular Lovers,Drama,True,5,has_genre,3,True,1
338,Dare,2002,False,0,release_year,1,False,0
339,Strait-Jacket,Edward Barry Roberts,False,0,starred_actors,55,False,0
340,The Social Network,Drama,True,1,has_genre,11,True,1
341,Saw VI,William Kaufman,True,14,directed_by,29,True,3
342,"Amanece, que no es poco",José Luis Cuerda,True,10,directed_by,8,True,2
343,Leviathan,2011,False,0,release_year,2,False,0
344,Rosa Luxemburg,Rudy Wurlitzer,True,4,written_by,1,True,1
345,"Guns, Girls and Gambling",Stephen King,True,46,starred_actors,52,True,10
346,Boyz n the Hood,Gordon Parks,True,4,directed_by,16,True,1
347,Like Someone in Love,Val Kilmer,False,0,starred_actors,2,False,0
348,Bottle Rocket,1998,True,8,release_year,26,True,4
349,The Gaucho,Russell Crowe,True,5,starred_actors,6,True,1
350,Midnight in Paris,Estelle Parsons,True,21,starred_actors,37,True,6
351,Black Dragons,Mystery,True,20,has_genre,3,True,2
352,The Third Wave,Jakob Eklund,True,5,starred_actors,1,True,1
353,Alien Autopsy,Yves Simoneau,False,0,directed_by,1,False,0
354,The Girl Who Kicked the Hornets' Nest,David Fincher,True,4,directed_by,30,True,1
355,The Butcher's Wife,Mitchell Lichtenstein,True,15,written_by,48,True,2
356,"I, Frankenstein",Bernie Goldmann,True,42,directed_by,14,True,4
357,Birdy,1989,False,0,release_year,7,False,0
358,The Terminal Man,1991,True,5,release_year,6,True,1
359,Good Will Hunting,Matt Damon,True,12,starred_actors,29,True,2
360,The Lost Missile,Sport,False,0,has_genre,1,False,0
361,Spider-Man 2,Curtis Hanson,True,1,directed_by,6,True,1
362,The Shepherd of the Hills,Romance,True,1,has_genre,13,True,1
363,The Nanny Diaries,Éva Gárdos,False,0,written_by,11,False,0
364,The Four Feathers,French,False,0,in_language,4,False,0
365,One Night Stand,1991,False,0,release_year,3,False,0
366,And Now a Word from Our Sponsor,Romance,True,1,has_genre,9,True,1
367,Rendezvous,1948,False,0,release_year,5,False,0
368,The Great Ziegfeld,Morrie Ryskind,True,36,written_by,25,True,3
369,Psycho III,Rocky Morton,True,14,directed_by,21,True,2
370,The Bellboy,Drama,True,1,has_genre,7,True,1
371,Hell Is for Heroes,Short,True,1,has_genre,7,True,1
372,Tangled,Sarah Dessen,True,27,written_by,36,True,3
373,Baby Take a Bow,Drama,True,2,has_genre,13,True,2
374,Room for One More,1965,True,37,release_year,3,True,2
375,Experiment Perilous,Drama,True,1,has_genre,11,True,1
376,Felidae,Martin Provost,False,0,directed_by,1,False,0
377,Salsa,Guy Moshe,True,8,directed_by,39,True,1
378,Jar City,Icelandic,True,3,in_language,3,True,1
379,Fitzcarraldo,Bruce Chatwin,True,9,written_by,11,True,1
380,Firestorm,Robert Rodat,True,25,written_by,22,True,4
381,Mephisto,1991,False,0,release_year,3,False,0
382,Desperate Journey,German,True,52,in_language,2,True,1
383,Steel Magnolias,1991,False,0,release_year,2,False,0
384,Shadows and Fog,1984,True,3,release_year,4,True,1
385,True Lies,1986,True,17,release_year,17,True,3
386,The Bride Wore Red,1953,True,5,release_year,3,True,1
387,A Foreign Affair,1953,True,74,release_year,5,True,5
388,Rembrandt,Romance,True,1,has_genre,10,True,1
389,Les Mistons,Ray Bradbury,True,2,written_by,11,True,1
390,The Long Voyage Home,John Twist,True,4,written_by,25,True,2
391,Doctor Zhivago,Glenn Close,True,23,starred_actors,37,True,4
392,Kill!,Kihachi Okamoto,True,3,written_by,3,True,1
393,Postcards from the Edge,1991,True,12,release_year,23,True,7
394,Shark in Venice,Danny Lerner,True,5,directed_by,2,True,1
395,The Detonator,John Badham,True,27,directed_by,20,True,8
396,Viva Maria!,1976,True,8,release_year,12,True,1
397,Dear Brigitte,1952,True,4,release_year,1,True,1
398,The Possession of Joel Delaney,Romance,True,38,has_genre,4,True,3
399,Drum,Italian,False,0,in_language,1,False,0
400,The Song of Sparrows,Persian,True,5,in_language,3,True,1
401,Innocence,Paul Cox,True,5,written_by,5,True,5
402,Manhunter,1990,True,5,release_year,20,True,1
403,The Road,Drama,True,2,has_genre,12,True,2
404,Confidentially Yours,French,True,3,in_language,7,True,1
405,Without Love,1942,True,19,release_year,16,True,3
406,Open Season,2014,True,30,release_year,7,True,2
407,Enthiran,Drama,True,1,has_genre,8,True,1
408,Passage to Marseille,English,True,6,in_language,5,True,1
409,Blade Runner,Japanese,False,0,in_language,3,False,0
410,Charley Varrick,German,False,0,in_language,0,False,0
411,Lightspeed,1986,True,6,release_year,8,True,2
412,Fail Safe,Mystery,True,1,has_genre,9,True,1
413,When Will I Be Loved,José Torres,True,9,written_by,64,True,2
414,Two Bits,John Grisham,True,7,written_by,23,True,2
415,Rashomon,Russian,True,3,in_language,1,True,1
416,West of Zanzibar,1920,True,5,release_year,7,True,1
417,The New Land,Swedish,True,4,in_language,4,True,1
418,The Ninth Configuration,Horror,True,2,has_genre,2,True,1
419,Where's Poppa?,Mystery,True,1,has_genre,9,True,1
420,The Awful Truth,Drama,True,1,has_genre,4,True,1
421,Tin Cup,Wesley Snipes,True,3,starred_actors,38,True,2
422,Let's Make Love,1953,True,4,release_year,10,True,1
423,Separation City,1982,True,3,release_year,1,True,1
424,Cold Prey 2,Horror,True,1,has_genre,4,True,1
425,Welcome to Sarajevo,English,True,32,in_language,1,True,1
426,Fire Over England,French,True,17,in_language,5,True,2
427,The Convent,Catherine Deneuve,True,5,starred_actors,52,True,1
428,The Reef,Diana Glenn,True,4,starred_actors,3,True,1
429,There's Always Tomorrow,Leigh Jason,True,3,directed_by,27,True,1
430,Route 666,Horror,True,6,has_genre,8,True,4
431,Trial by Jury,1991,False,0,release_year,2,False,0
432,Waiting for Guffman,French,True,29,in_language,1,True,1
433,Simon Birch,Action,True,1,has_genre,11,True,1
434,Reunion,1987,False,0,release_year,2,False,0
435,Death in Love,Drama,True,1,has_genre,6,True,1
436,Stanley Kubrick's Boxes,Ewan McGregor,True,6,starred_actors,5,True,2
437,The Tenant,Bruno Nuytten,True,8,starred_actors,47,True,3
438,Every Girl Should Be Married,Swedish,False,0,in_language,0,False,0
439,Puss in Boots,1997,True,16,release_year,20,True,2
440,Opportunity Knocks,Penelope Spheeris,True,28,starred_actors,12,False,0
441,A Touch of Class,Comedy,True,3,has_genre,5,True,2
442,Let's Go to Prison,Comedy,True,3,has_genre,6,True,2
443,Tootsie,Elia Kazan,True,12,directed_by,25,True,3
444,Raiders of the Lost Ark,Mystery,True,1,has_genre,11,True,1
445,At Sword's Point,Phyllis Calvert,True,86,starred_actors,54,True,0
446,Wimbledon,Deric Longden,True,25,written_by,18,True,3
447,The Amazing Spider-Man 2,2009,True,17,release_year,12,True,2
448,Blaze,Romance,True,1,has_genre,8,True,1
449,Hearts Divided,1948,True,6,release_year,6,True,1
450,The Day the Earth Caught Fire,Drama,True,1,has_genre,13,True,1
451,Possession,Renée Zellweger,True,10,directed_by,8,False,0
452,Assault on a Queen,1945,True,4,release_year,2,True,1
453,Hour of the Wolf,1987,True,4,release_year,3,True,1
454,The Wolf of Wall Street,Irish,True,47,in_language,2,True,1
